Wall time,Step,Value
1681943510,77420,32.23041534
1681943529,77460,31.0204525
1681943581,77570,32.00422287
1681943595,77600,32.23897552
1681943690,77800,31.78374672
1681943728,77880,31.93457985
1681943775,77980,31.70370674
1681943780,77990,31.74986076
1681943832,78100,32.3092041
1681943949,78330,31.93547058
1681943973,78380,31.81064796
1681944053,78550,32.17732239
1681944162,78780,31.63486862
1681944261,78990,31.76300812
1681944266,79000,32.18042374
1681944285,79040,31.76238632
1681944304,79080,31.47847939
1681944389,79260,32.5728569
1681944417,79320,32.08935165
1681944422,79330,32.26234055
1681944621,79750,31.9028759
1681944659,79830,32.44314194
1681944696,79910,32.09583664
1681944701,79920,31.6400795
1681944782,80090,32.19252014
1681944828,80170,32.10795975
1681944851,80220,32.3509903
1681944870,80260,31.87336922
1681944922,80370,31.22761917
1681944979,80490,31.13449478
1681944993,80520,31.6761322
1681945003,80540,31.79644775
1681945022,80580,31.97999191
1681945060,80660,32.21758652
1681945343,81260,32.26848984
1681945372,81320,31.53061485
1681945376,81330,32.42417526
1681945386,81350,32.19401932
1681945457,81500,32.80160141
1681945490,81570,32.12652206
1681945599,81800,32.25943756
1681945618,81840,31.99847603
1681945670,81950,31.86577988
1681945692,81980,32.22904205
1681945773,82150,32.42909622
1681945801,82210,31.55138588
1681945863,82340,32.31762695
1681945957,82540,32.15776825
1681946000,82630,32.0496254
1681946066,82770,31.88237
1681946076,82790,31.92753601
1681946085,82810,32.00162888
1681946128,82900,32.34197998
1681946170,82990,31.85211754
1681946208,83070,31.72724533
1681946303,83270,32.06132507
1681946312,83290,32.36527252
1681946326,83320,31.11828232
1681946336,83340,31.90990829
1681946364,83400,31.98080635
1681946421,83520,31.80447578
1681946426,83530,31.87440872
1681946459,83600,32.14624023
1681946473,83630,32.21547699
1681946497,83680,32.22287369
1681946530,83750,31.88506508
1681946539,83770,31.82728195
1681946789,84280,31.95575714
1681946841,84390,31.80081367
1681946856,84420,31.79228783
1681946879,84470,31.99555206
1681946955,84630,32.07542801
1681946974,84670,31.72855377
1681946979,84680,31.47755814
1681946988,84700,31.43268776
1681947002,84730,32.40417862
1681947035,84800,32.02320099
1681947054,84840,31.95062828
1681947073,84880,32.27503967
